AreaName,Labor-Force,Employment,Unemployment-Number,Unemployment-Rate,CensusRatios-Emp,CensusRatios-Unemp
Westlake Village city,"4,000","3,900",100,2.50%,0.000802,0.000413
Westmont CDP,"13,300","12,100","1,100",8.60%,0.002498,0.004675
Whittier city,"43,900","41,900","2,000",4.60%,N/A,N/A
Willowbrook CDP,"9,600","8,900",700,7.20%,0.001834,0.002837
Madera County                                               ,"61,000","56,100","4,900",8.10%,1,1
Bonadelle Ranchos Madera Ranchos CDP,"4,200","4,000",200,5.70%,0.070511,0.048761
Chowchilla city,"4,400","4,100",300,6.30%,0.073115,0.056095
Madera Acres CDP,"4,900","4,700",300,5.40%,0.083191,0.053915
Madera city,"27,400","25,000","2,400",8.80%,N/A,N/A
Oakhurst CDP,"1,800","1,600",100,8.00%,0.028818,0.028543
Parksdale CDP,"1,200","1,100",100,8.80%,0.019795,0.021606
Parkwood CDP,"1,000",900,100,10.40%,0.0158,0.020813
Yosemite Lakes CDP,"1,900","1,700",200,8.70%,0.031118,0.033499
Mariposa County                                             ,"7,670","7,220",450,5.80%,1,1
Bootjack CDP,310,290,20,6.80%,0.039949,0.046332
Mariposa CDP,620,610,10,2.30%,0.083749,0.030888
Yosemite Valley CDP,920,910,20,1.60%,0.12541,0.033462
Mendocino County                                            ,"39,630","37,840","1,790",4.50%,1,1
Covelo CDP,440,410,30,6.40%,0.010759,0.015567
Fort Bragg city,"3,430","3,310",120,3.40%,0.08745,0.06552
Laytonville CDP,450,390,60,13.40%,0.010247,0.03369
Mendocino CDP,380,380,0,0.00%,0.010058,0
Point Arena city,270,260,10,3.00%,0.006822,0.004647
Ukiah city,"7,290","6,850",450,6.20%,0.180887,0.251394
Willits city,"1,890","1,840",60,2.90%,0.048592,0.030901
Merced County                                               ,"115,400","104,600","10,800",9.40%,1,1
Atwater city,"12,000","10,900","1,100",8.80%,N/A,N/A
Delhi CDP,"4,900","4,500",500,9.40%,0.042777,0.042961
Dos Palos city,"2,000","1,800",200,9.50%,0.017561,0.017797
Gustine city,"2,700","2,500",300,10.30%,0.023499,0.026224
Hilmar Irwin CDP,"2,800","2,700",100,2.40%,0.02567,0.006247
Le Grand CDP,800,700,100,9.50%,0.006503,0.0066
Livingston city,"6,700","6,300",400,5.90%,0.060681,0.036891
Los Banos city,"16,700","14,800","1,900",11.40%,N/A,N/A
Merced city,"34,100","31,500","2,600",7.60%,N/A,N/A
Planada CDP,"2,000","1,700",200,12.60%,0.01645,0.022924
South Dos Palos CDP,"1,100",900,200,21.30%,0.0082,0.021451
Winton CDP,"4,900","4,200",700,14.10%,0.040555,0.064706
Stanislaus County                                           ,"242,500","224,400","18,100",7.50%,1,1
Bret Harte CDP,"2,000","1,700",300,15.80%,0.007608,0.017681
Bystrom CDP,"1,700","1,500",200,10.20%,0.006615,0.009268
Ceres city,"21,600","19,700","1,900",8.90%,N/A,N/A
Denair CDP,"2,500","2,400",100,4.20%,0.010811,0.005848
East Oakdale CDP,"1,500","1,500",100,5.60%,0.006515,0.004822
Empire CDP,"1,700","1,500",200,9.70%,0.006779,0.008995
Hughson city,"3,200","2,900",200,7.70%,0.01302,0.013338
Keyes CDP,"2,600","2,300",300,10.00%,0.010419,0.014398
Modesto city,"94,600","88,200","6,400",6.80%,N/A,N/A
Newman city,"4,500","4,100",400,8.60%,0.018305,0.021409
Oakdale city,"9,400","8,600",800,8.30%,0.038514,0.042921
Patterson city,"10,100","9,300",700,7.30%,0.04153,0.040527
Riverbank city,"11,700","11,100",700,5.60%,0.049388,0.036525
Salida CDP,"7,100","6,700",400,5.60%,0.029685,0.021854
Turlock city,"33,700","31,800","1,900",5.60%,N/A,N/A
Waterford city,"3,600","3,100",500,13.00%,0.013918,0.025821
West Modesto CDP,"2,100","1,700",400,18.00%,0.007672,0.020793
Modoc County                                                ,"3,200","2,940",260,8.10%,1,1
Alturas city,"1,050",980,80,7.10%,0.332095,0.288973
Mono County                                                 ,"8,510","8,130",380,4.40%,1,1
Mammoth Lakes town,"5,530","5,470",60,1.20%,0.67294,0.168966
Napa County                                                 ,"73,400","70,700","2,700",3.60%,1,1
American Canyon city,"10,400","9,800",500,5.30%,0.138968,0.204277
Angwin CDP,"2,100","2,000",100,4.10%,0.02835,0.031957
Calistoga city,"2,700","2,600",100,3.00%,0.036563,0.030482
Deer Park CDP,400,400,0,4.90%,0.005456,0.00762
Napa city,"41,800","40,200","1,600",3.80%,N/A,N/A
St. Helena city,"2,900","2,800",100,3.70%,0.040149,0.040806
Yountville town,"1,200","1,200",0,2.50%,0.016453,0.011308
Nevada County                                               ,"48,410","46,420","1,990",4.10%,1,1
Alta Sierra CDP,"3,590","3,560",40,1.00%,0.076592,0.017622
Grass Valley city,"5,710","5,360",350,6.10%,0.115432,0.176225
Lake of the Pines CDP,"2,140","2,040",100,4.70%,0.04397,0.050478
Lake Wildwood CDP,"2,030","2,030",0,0.00%,0.043686,0
Nevada City city,"1,400","1,380",20,1.70%,0.029715,0.012246
Penn Valley CDP,770,660,110,14.70%,0.014113,0.057049
Truckee town,"10,510","10,200",320,3.00%,0.219635,0.158901
Ventura County                                              ,"424,700","405,600","19,100",4.50%,1,1
Camarillo city,"33,500","32,300","1,200",3.60%,N/A,N/A
Casa Conejo CDP,"1,800","1,700",100,6.10%,0.004069,0.005669
Channel Islands Beach CDP,"1,500","1,400",200,10.70%,0.003389,0.008591
El Rio CDP,"3,300","3,000",200,6.30%,0.007509,0.010678
Fillmore city,"7,100","6,800",300,4.40%,0.016841,0.016625
Meiners Oaks CDP,"1,800","1,800",0,2.30%,0.00434,0.002226
Mira Monte CDP,"3,600","3,400",200,4.30%,0.008479,0.007999
Moorpark city,"19,600","18,900",700,3.60%,N/A,N/A
Oak Park CDP,"7,200","6,900",300,4.60%,0.016949,0.017425
Oak View CDP,"2,200","2,100",100,4.00%,0.005264,0.004661
Ojai city,"3,600","3,400",100,3.90%,0.008426,0.007234
Oxnard city,"101,000","95,300","5,700",5.60%,N/A,N/A
Piru CDP,800,800,0,4.10%,0.002002,0.001809
Port Hueneme city,"10,500","10,100",400,3.90%,0.024823,0.021598
San Buenaventura (Ventura) city,"56,000","53,800","2,200",3.90%,N/A,N/A
Santa Paula city,"14,100","12,900","1,200",8.60%,N/A,N/A
Simi Valley city,"67,900","65,400","2,600",3.80%,N/A,N/A
Thousand Oaks city,"65,200","62,900","2,300",3.60%,N/A,N/A
Placer County                                               ,"181,700","174,700","7,000",3.90%,1,1
Auburn city,"6,700","6,500",300,3.80%,0.03711,0.036805
Colfax city,"1,100","1,000",100,6.90%,0.005826,0.010865
Dollar Point CDP,600,600,0,2.10%,0.003273,0.001762
Foresthill CDP,700,700,0,3.20%,0.003771,0.003132
Granite Bay CDP,"10,500","10,200",400,3.70%,0.058135,0.056088
Kings Beach CDP,"1,900","1,800",0,2.30%,0.01058,0.006167
Lincoln city,"18,800","18,000",800,4.30%,N/A,N/A
Loomis town,"3,100","3,000",200,5.00%,0.016915,0.02222
Meadow Vista CDP,"1,600","1,500",100,3.40%,0.008666,0.007733
North Auburn CDP,"5,400","5,200",200,4.50%,0.029691,0.035043
Rocklin city,"31,800","30,600","1,200",3.70%,N/A,N/A
Roseville city,"66,400","63,900","2,400",3.70%,N/A,N/A
Sunnyside Tahoe City CDP,700,700,0,4.90%,0.003964,0.005188
Tahoe Vista CDP,800,800,0,3.10%,0.004637,0.00372
Plumas County                                               ,"7,780","7,090",690,8.90%,1,1
Beckwourth CDP,100,100,0,0.00%,0.014463,0
Belden CDP,0,0,0,0.00%,0,0
Bucks Lake CDP,20,20,0,0.00%,0.002204,0
C Road CDP,80,60,10,17.10%,0.008953,0.018617
Canyondam CDP,40,10,30,73.80%,0.001515,0.045213
Chester CDP,"1,140","1,060",70,6.40%,0.15,0.106383
Chilcoot Vinton CDP,10,0,10,100.00%,0,0.018617
Clio CDP,20,20,0,0.00%,0.00303,0
Crescent Mills CDP,120,120,0,0.00%,0.016667,0
Cromberg CDP,50,50,0,0.00%,0.007025,0
Delleker CDP,240,240,0,0.00%,0.033471,0
East Quincy CDP,"1,150","1,080",70,5.70%,0.152893,0.094415
East Shore CDP,120,80,40,30.80%,0.011708,0.053191
Graeagle CDP,270,250,10,4.20%,0.035813,0.015957
Greenhorn CDP,130,110,20,12.50%,0.01584,0.022606
Greenville CDP,230,230,10,2.20%,0.031956,0.007979
Hamilton Branch CDP,230,190,50,20.90%,0.026033,0.071809
Indian Falls CDP,0,0,0,0.00%,0,0
Iron Horse CDP,180,140,40,20.00%,0.020248,0.051862
Johnsville CDP,0,0,0,0.00%,0,0
Keddie CDP,30,20,10,28.00%,0.002479,0.010638
La Porte CDP,0,0,0,0.00%,0,0
Lake Almanor Country Club CDP,80,80,0,0.00%,0.010882,0
Lake Almanor Peninsula CDP,90,90,0,0.00%,0.013085,0
Lake Almanor West CDP,60,50,10,12.10%,0.007163,0.010638
Little Grass Valley CDP,0,0,0,0.00%,0,0
Meadow Valley CDP,200,170,40,19.10%,0.023278,0.057181
Mohawk Vista CDP,70,60,10,11.80%,0.008402,0.011968
Paxton CDP,0,0,0,0.00%,0,0
Plumas Eureka CDP,100,100,10,5.90%,0.013499,0.009309
Portola city,790,680,120,14.60%,0.095592,0.168883
Prattville CDP,10,10,0,0.00%,0.000689,0
Quincy CDP,840,780,60,7.30%,0.110055,0.089096
Spring Garden CDP,0,0,0,0.00%,0,0
Taylorsville CDP,70,50,20,31.90%,0.006887,0.033245
Tobin CDP,0,0,0,0.00%,0,0
Twain CDP,0,0,0,0.00%,0,0
Valley Ranch CDP,0,0,0,0.00%,0,0
Whitehawk CDP,10,10,0,0.00%,0.00124,0
Shasta County                                               ,"74,100","69,800","4,300",5.80%,1,1
Anderson city,"4,200","3,900",300,7.90%,0.055198,0.077392
Burney CDP,"1,300","1,300",100,5.10%,0.018076,0.015822
Cottonwood CDP,"1,300","1,200",100,7.80%,0.017079,0.023446
Fall River Mills CDP,200,100,0,15.30%,0.001981,0.005719
Redding city,"39,500","37,500","2,000",5.10%,N/A,N/A
Shasta Lake city,"4,400","4,200",300,5.90%,0.059741,0.061189
Shingletown CDP,600,600,100,8.30%,0.008519,0.012581
Riverside County                                            ,"1,073,400","1,017,100","56,300",5.20%,1,1
Banning city,"11,100","10,400",700,6.30%,N/A,N/A
Beaumont city,"21,500","20,600",900,4.00%,N/A,N/A
Bermuda Dunes CDP,"3,800","3,600",200,4.60%,0.003542,0.003092
Blythe city,"5,900","5,600",300,5.30%,0.005514,0.005597
Cabazon CDP,"1,400","1,300",200,11.60%,0.001241,0.002952
Calimesa city,"3,300","3,100",200,5.40%,0.003092,0.003222
Canyon Lake city,"5,500","5,300",200,3.70%,0.005224,0.003595
Cathedral City city,"25,800","24,500","1,300",4.90%,N/A,N/A
Cherry Valley CDP,"3,400","3,200",200,4.50%,0.003167,0.002691
Coachella city,"19,800","17,400","2,400",12.20%,N/A,N/A
Corona city,"82,700","79,300","3,300",4.00%,N/A,N/A
Desert Hot Springs city,"11,400","10,600",800,6.90%,N/A,N/A
East Hemet CDP,"7,900","7,200",700,8.70%,0.007052,0.012162
Eastvale City city,"31,300","30,200","1,200",3.70%,N/A,N/A
El Cerrito CDP,"2,300","2,200",100,3.50%,0.002194,0.001443
Hemet city,"29,200","27,200","2,000",6.80%,N/A,N/A
Highgrove CDP,"2,200","2,000",200,8.90%,0.001941,0.003446
Home Gardens CDP,"5,500","5,200",200,4.00%,0.00516,0.003827
Homeland CDP,"3,000","2,800",200,5.60%,0.002747,0.002971
Idyllwild Pine Cove CDP,"1,300","1,300",0,2.00%,0.001274,0.000475
Indian Wells city,"1,800","1,700",100,2.90%,0.001696,0.000931
Indio city,"39,900","37,300","2,600",6.50%,N/A,N/A
Jurupa Valley city,"47,100","44,900","2,200",4.70%,N/A,N/A
La Quinta city,"18,700","17,800","1,000",5.20%,N/A,N/A
Lake Elsinore city,"29,400","28,000","1,400",4.80%,N/A,N/A
Lakeland Village CDP,"5,800","5,300",500,8.30%,0.005186,0.00853
Lakeview CDP,"1,100","1,000",100,6.40%,0.000998,0.00122
March AFB CDP,300,300,0,5.30%,0.000265,0.00027
Mecca CDP,"3,300","3,200",200,5.20%,0.003106,0.003101
Menifee city,"38,000","36,100","1,900",5.00%,N/A,N/A
Moreno Valley city,"93,100","87,900","5,100",5.50%,N/A,N/A
Murrieta city,"54,200","52,000","2,200",4.10%,N/A,N/A
Norco city,"11,500","11,000",500,4.30%,N/A,N/A
Nuevo CDP,"3,000","2,800",200,6.40%,0.002798,0.003427
Palm Desert city,"24,300","23,100","1,200",5.00%,N/A,N/A
Palm Springs city,"22,500","21,400","1,000",4.60%,N/A,N/A
Perris city,"30,200","28,300","1,800",6.10%,N/A,N/A
Rancho Mirage city,"6,300","6,000",300,4.20%,0.005944,0.004684
Riverside city,"151,300","144,200","7,100",4.70%,N/A,N/A
Romoland CDP,800,800,0,3.20%,0.00078,0.000456
San Jacinto city,"18,500","17,300","1,200",6.20%,N/A,N/A
Temecula city,"54,200","52,000","2,200",4.10%,N/A,N/A
Thousand Palms CDP,"2,800","2,700",100,3.90%,0.002629,0.001928
Valle Vista CDP,"6,400","6,100",400,5.60%,0.005975,0.006398
Wildomar city,"17,300","16,400",800,4.70%,N/A,N/A
Winchester CDP,"1,200","1,100",100,8.80%,0.00104,0.001807
Woodcrest CDP,"8,200","7,800",400,4.60%,0.007707,0.006686
Sacramento County                                           ,"698,100","665,600","32,500",4.70%,1,1
Arden Arcade CDP,"45,000","42,100","2,900",6.50%,0.063261,0.089508
Carmichael CDP,"30,500","29,000","1,500",4.90%,0.043621,0.04607
Citrus Heights city,"43,100","41,200","1,900",4.50%,N/A,N/A
Elk Grove CDP,"81,300","78,200","3,200",3.90%,N/A,N/A
Fair Oaks CDP,"14,900","14,300",600,4.10%,0.021514,0.0188
Florin CDP,"20,100","18,700","1,400",7.00%,0.02806,0.043144
Folsom city,"36,600","35,300","1,300",3.50%,N/A,N/A
Foothill Farms CDP,"15,000","14,300",800,5.10%,0.021418,0.023399
Galt city,"11,400","10,700",700,6.30%,N/A,N/A
Gold River CDP,"3,400","3,300",100,3.50%,0.004957,0.003686
Isleton city,300,300,0,6.60%,0.000402,0.000573
La Riviera CDP,"5,700","5,500",200,3.40%,0.008206,0.005869
North Highlands CDP,"19,100","18,300",800,4.00%,0.027539,0.023415
Orangevale CDP,"16,800","16,300",500,3.20%,0.024448,0.016601
Rancho Cordova City,"34,400","32,800","1,600",4.80%,N/A,N/A
Rancho Murieta CDP,"2,100","2,100",0,2.10%,0.003154,0.001347
Rio Linda CDP,"6,600","6,300",300,3.90%,0.009534,0.007882
Rosemont CDP,"12,200","11,600",600,4.70%,0.017403,0.017623
Sacramento city,"231,000","220,000","11,000",4.80%,N/A,N/A
Vineyard CDP,"12,900","12,400",500,3.50%,0.018699,0.014092
Walnut Grove CDP,700,600,100,7.40%,0.000964,0.001564
Wilton CDP,"2,400","2,300",0,1.90%,0.003503,0.001425
Monterey County                                             ,"219,900","204,200","15,700",7.20%,1,1
Aromas CDP (Monterey Co),"1,500","1,300",100,7.90%,0.006605,0.007375
Boronda CDP,400,400,0,3.00%,0.001897,0.000768
Bradley CDP,100,100,0,3.80%,0.000378,0.000171
Carmel by the Sea city,"1,600","1,600",0,0.10%,0.007811,0.000085
Carmel Valley Village CDP,"2,500","2,300",200,9.00%,0.011023,0.014167
Castroville CDP,"3,500","3,000",500,13.90%,0.014871,0.031066
Chualar CDP,700,700,100,9.40%,0.003311,0.004438
Del Monte Forest CDP,"1,800","1,600",200,11.80%,0.007663,0.013314
Del Rey Oaks city,"1,000",900,100,7.40%,0.004358,0.004523
Elkhorn CDP,700,700,0,0.00%,0.003333,0
Gonzales city,"3,900","3,800",100,2.00%,0.018609,0.004865
Greenfield city,"8,000","7,400",600,8.00%,0.036007,0.04071
King City city,"6,300","5,800",500,8.10%,0.028486,0.032432
Las Lomas CDP,"2,200","2,000",200,9.60%,0.009943,0.013655
Marina city,"12,300","11,800",400,3.60%,N/A,N/A
Monterey city,"15,300","14,800",500,3.30%,N/A,N/A
Moss Landing CDP,100,100,0,0.00%,0.000247,0
Pacific Grove city,"8,600","8,200",500,5.30%,0.040035,0.029103
Pajaro CDP,"1,900","1,500",400,21.80%,0.007361,0.026628
Prunedale CDP,"12,100","11,200",900,7.60%,0.054616,0.058377
Salinas city,"80,400","72,900","7,500",9.30%,N/A,N/A
San Ardo CDP,200,200,0,2.10%,0.000932,0.000256
San Lucas CDP,200,100,0,19.80%,0.000636,0.002048
Sand City city,200,200,0,4.10%,0.000915,0.000512
Seaside city,"17,300","16,700",600,3.20%,N/A,N/A
Soledad city,"8,100","7,200",900,10.90%,N/A,N/A
Spreckels CDP,300,300,0,0.00%,0.001491,0
San Benito County                                           ,"30,700","28,900","1,800",5.80%,1,1
Hollister city,"19,300","18,100","1,300",6.50%,N/A,N/A
Ridgemark CDP,"1,500","1,400",0,3.20%,0.048794,0.026061
San Juan Bautista city,"1,100","1,000",0,4.40%,0.035069,0.026433
San Bernardino County                                       ,"944,300","897,800","46,500",4.90%,1,1
Adelanto city,"9,500","8,700",800,8.90%,N/A,N/A
Apple Valley town,"28,600","27,000","1,600",5.60%,N/A,N/A
Barstow city,"8,600","8,000",600,7.20%,0.00887,0.013336
Big Bear City CDP,"5,800","5,500",200,3.80%,0.006167,0.004649
Big Bear Lake city,"2,300","2,200",100,2.30%,0.0025,0.001136
Big River CDP,400,300,0,6.00%,0.000382,0.000463
Bloomington CDP,"10,300","9,700",600,6.10%,0.010773,0.01341
Bluewater CDP,0,0,0,0.00%,0.000018,0
Chino city,"41,800","40,100","1,700",4.10%,N/A,N/A
Chino Hills city,"43,100","41,600","1,400",3.30%,N/A,N/A
Colton city,"24,400","23,100","1,300",5.30%,N/A,N/A
Crestline CDP,"4,500","4,400",100,2.50%,0.004872,0.002419
Fontana city,"97,100","92,500","4,600",4.70%,N/A,N/A
Grand Terrace city,"6,100","5,900",300,4.60%,0.006529,0.0061
Hesperia city,"35,200","33,000","2,200",6.20%,N/A,N/A
Highland city,"24,300","23,100","1,200",5.00%,N/A,N/A
Joshua Tree CDP,"2,800","2,600",200,7.30%,0.002926,0.004449
Lake Arrowhead CDP,"4,800","4,600",100,3.10%,0.005161,0.003166
Lenwood CDP,"2,100","2,100",0,2.10%,0.002318,0.000936
Loma Linda city,"11,200","10,900",300,3.00%,0.012143,0.007226
Mentone CDP,"5,100","4,900",200,4.40%,0.005422,0.004849
Montclair city,"18,900","18,100",800,4.20%,N/A,N/A
Morongo Valley CDP,"1,600","1,500",100,5.10%,0.001688,0.001735
Mountain View Acres CDP,"1,300","1,200",100,8.50%,0.001299,0.002324
Muscoy CDP,"4,500","4,000",500,11.80%,0.004404,0.01138
Needles city,"1,700","1,700",100,2.90%,0.001878,0.001073
Ontario city,"84,600","80,900","3,700",4.40%,N/A,N/A
Rancho Cucamonga city,"94,600","91,000","3,600",3.80%,N/A,N/A
Redlands city,"35,000","33,700","1,300",3.80%,N/A,N/A
Rialto city,"44,200","41,700","2,500",5.60%,N/A,N/A
Running Springs CDP,"2,100","2,000",100,5.70%,0.002182,0.002556
San Antonio Heights CDP,"1,700","1,700",0,1.20%,0.001869,0.000442
San Bernardino city,"84,000","78,600","5,300",6.30%,N/A,N/A
Searles Valley CDP,600,500,100,11.50%,0.000598,0.001515
Twentynine Palms city,"6,900","6,500",400,6.00%,N/A,N/A
Upland city,"38,900","37,300","1,600",4.10%,N/A,N/A
Victorville city,"45,500","42,300","3,100",6.80%,N/A,N/A
Wrightwood CDP,"2,000","2,000",100,3.60%,0.002199,0.001599
Yucaipa city,"24,800","23,700","1,100",4.30%,N/A,N/A
Yucca Valley town,"8,500","7,900",600,6.70%,0.008845,0.012169
San Diego County                                            ,"1,574,600","1,511,400","63,200",4.00%,1,1
Bonita CDP,"6,000","5,700",300,5.10%,0.003782,0.004873
Bostonia CDP,"8,100","7,400",700,8.60%,0.004896,0.011023
Carlsbad city,"54,700","52,600","2,000",3.70%,N/A,N/A
Casa de Oro Mount Helix CDP,"9,700","9,300",400,4.40%,0.006157,0.006715
Chula Vista city,"122,200","116,800","5,400",4.40%,N/A,N/A
Coronado city,"8,700","8,300",300,3.60%,N/A,N/A
Del Mar city,"2,400","2,400",100,2.20%,0.001585,0.000839
El Cajon city,"45,000","43,000","2,000",4.40%,N/A,N/A
Encinitas city,"33,100","32,100","1,100",3.20%,N/A,N/A
Escondido city,"68,900","66,200","2,700",3.90%,N/A,N/A
Fallbrook CDP,"13,300","12,800",500,3.80%,0.008481,0.007957
Imperial Beach city,"11,900","11,300",600,5.10%,N/A,N/A
La Mesa city,"30,600","29,300","1,200",4.00%,N/A,N/A
Lakeside CDP,"10,600","10,200",500,4.40%,0.006723,0.007349
Lemon Grove city,"12,500","11,900",600,4.80%,N/A,N/A
National City city,"24,700","23,400","1,300",5.40%,N/A,N/A
Oceanside city,"81,800","78,400","3,400",4.10%,N/A,N/A
Poway city,"25,600","24,800",800,3.20%,N/A,N/A
Ramona CDP,"11,100","10,700",400,3.50%,0.007084,0.006235
San Diego city,"711,800","684,200","27,700",3.90%,N/A,N/A
San Marcos city,"42,000","40,400","1,600",3.80%,N/A,N/A
Santee city,"29,100","28,000","1,100",3.60%,N/A,N/A
Solana Beach city,"7,200","7,000",200,2.10%,0.004658,0.00239
Spring Valley CDP,"13,900","13,100",800,5.70%,0.008698,0.012539
Valley Center CDP,"4,500","4,300",200,4.20%,0.002866,0.003032
Vista city,"44,900","43,000","1,900",4.30%,N/A,N/A
San Francisco County                                        ,"564,500","548,000","16,500",2.90%,1,1
San Francisco City and County,"564,500","548,000","16,500",2.90%,1,1
San Luis Obispo County                                      ,"140,600","135,600","5,000",3.60%,1,1
Arroyo Grande city,"9,200","8,900",300,3.20%,0.065642,0.058154
Atascadero city,"15,500","15,000",500,3.30%,N/A,N/A
Cambria CDP,"2,700","2,600",100,5.30%,0.018843,0.028545
Cayucos CDP,"1,400","1,400",0,3.00%,0.010187,0.008351
El Paso de Robles (Paso Robles) city,"16,200","15,600",600,3.70%,N/A,N/A
Grover Beach city,"6,800","6,600",200,3.50%,0.048423,0.046918
Lake Nacimiento CDP,"1,200","1,200",0,2.60%,0.008578,0.006225
Morro Bay city,"5,100","4,900",200,4.10%,0.035915,0.040996
Nipomo CDP,"9,100","8,700",400,4.20%,0.064319,0.075919
Oceano CDP,"3,700","3,500",200,4.70%,0.025975,0.034315
Pismo Beach city,"4,300","4,200",100,2.90%,0.031034,0.024749
San Luis Obispo city,"25,500","24,700",800,3.00%,N/A,N/A
San Miguel CDP,"1,300","1,200",100,9.20%,0.008911,0.024294
Shandon CDP,700,600,0,5.90%,0.004734,0.007896
Templeton CDP,"4,000","3,900",100,1.70%,0.028806,0.013362
San Mateo County                                            ,"446,100","433,900","12,100",2.70%,1,1
Atherton town,"3,100","3,100",100,2.90%,0.007034,0.007584
Belmont city,"16,400","15,900",500,2.80%,N/A,N/A
Brisbane city,"2,900","2,800",100,2.20%,0.006459,0.005205
Broadmoor CDP,"3,300","3,100",200,6.10%,0.007118,0.016457
Burlingame city,"18,000","17,600",500,2.60%,N/A,N/A
Daly City city,"63,500","61,800","1,700",2.70%,N/A,N/A
East Palo Alto city,"14,800","14,300",500,3.20%,N/A,N/A
El Granada CDP,"3,800","3,700",100,3.60%,0.008519,0.01155
Foster City city,"19,700","19,200",500,2.60%,N/A,N/A
Half Moon Bay city,"7,700","7,500",200,2.00%,0.017306,0.012392
Hillsborough town,"5,100","4,900",100,2.80%,0.011309,0.011797
Menlo Park city,"19,300","18,800",500,2.50%,N/A,N/A
Millbrae city,"12,600","12,300",400,2.80%,0.0283,0.029593
North Fair Oaks CDP,"8,700","8,400",300,3.20%,0.019448,0.023198
Pacifica city,"23,900","23,200",700,2.80%,N/A,N/A
Redwood City city,"50,200","48,900","1,300",2.70%,N/A,N/A
San Bruno city,"26,500","25,700",700,2.80%,N/A,N/A
San Carlos city,"17,400","17,000",500,2.70%,N/A,N/A
San Mateo city,"63,300","61,600","1,700",2.60%,N/A,N/A
South San Francisco city,"38,500","37,400","1,100",2.90%,N/A,N/A
West Menlo Park CDP,"1,900","1,900",100,3.00%,0.004295,0.004759
Marin County                                                ,"140,000","136,000","4,000",2.90%,1,1
Corte Madera town,"5,400","5,200",200,3.00%,0.038416,0.039446
Fairfax town,"4,700","4,600",100,2.10%,0.033629,0.024312
Inverness CDP,600,600,0,0.80%,0.004588,0.001127
Larkspur city,"6,800","6,600",200,2.70%,0.048342,0.045242
Mill Valley city,"7,200","7,100",100,1.40%,0.052102,0.025761
Novato city,"29,700","28,900",900,2.90%,N/A,N/A
Point Reyes Station CDP,200,200,0,0.00%,0.001455,0
San Anselmo town,"7,300","7,100",200,3.30%,0.051926,0.060538
San Rafael city,"32,600","31,600",900,2.80%,N/A,N/A
Sausalito city,"4,600","4,500",100,2.70%,0.032956,0.030752
Tamalpais Homestead Valley CDP,"6,000","5,800",200,3.80%,0.042759,0.057479
Tomales CDP,300,300,0,0.00%,0.001991,0
Santa Clara County                                          ,"1,039,900","1,006,500","33,400",3.20%,1,1
Campbell city,"25,800","25,100",800,2.90%,N/A,N/A
Cupertino city,"29,700","28,800","1,000",3.20%,N/A,N/A
East Foothills CDP,"3,700","3,700",100,1.80%,0.003638,0.002079
Gilroy city,"29,600","28,500","1,100",3.90%,N/A,N/A
Los Altos city,"14,700","14,300",400,3.00%,N/A,N/A
Los Gatos town,"16,000","15,500",500,3.30%,N/A,N/A
Milpitas city,"41,400","40,000","1,400",3.50%,N/A,N/A
Morgan Hill city,"24,000","23,200",800,3.30%,N/A,N/A
Mountain View city,"51,000","49,700","1,200",2.40%,N/A,N/A
Palo Alto city,"35,600","34,700","1,000",2.70%,N/A,N/A
San Jose city,"550,800","532,400","18,400",3.30%,N/A,N/A
San Martin CDP,"4,000","3,800",100,3.30%,0.003801,0.003917
Santa Clara city,"69,600","67,500","2,100",3.10%,N/A,N/A
Saratoga city,"14,900","14,300",500,3.40%,N/A,N/A
Sunnyvale city,"87,100","84,700","2,400",2.80%,N/A,N/A
Santa Cruz County                                           ,"142,900","134,800","8,100",5.70%,1,1
Aptos CDP,"3,400","3,300",100,3.40%,0.024394,0.014165
Aptos Hills Larkin Valley CDP,"1,200","1,100",100,10.10%,0.00833,0.015509
Ben Lomond CDP,"3,700","3,600",100,3.50%,0.026553,0.015819
Boulder Creek CDP,"2,500","2,300",200,8.60%,0.017087,0.026882
Capitola city,"5,600","5,500",100,2.60%,0.040606,0.01799
Corralitos CDP,"1,500","1,500",0,2.40%,0.01108,0.004446
Day Valley CDP,"1,700","1,600",100,3.90%,0.011984,0.008065
Felton CDP,"2,100","2,000",200,7.40%,0.014644,0.019438
Freedom CDP,"1,500","1,500",0,3.10%,0.010998,0.00579
Interlaken CDP,"3,300","3,100",100,4.50%,0.023034,0.018197
Live Oak CDP,"9,300","8,900",300,3.70%,0.066113,0.042494
Rio del Mar CDP,"4,800","4,600",200,4.30%,0.033942,0.025538
Santa Cruz city,"33,300","32,000","1,300",3.90%,N/A,N/A
Scotts Valley city,"6,200","5,900",300,4.40%,0.043684,0.033395
Soquel CDP,"6,100","5,800",300,5.20%,0.043072,0.039289
Twin Lakes CDP,"2,900","2,600",200,8.30%,0.01956,0.02926
Watsonville city,"26,500","23,400","3,200",12.00%,N/A,N/A
Santa Barbara County                                        ,"215,500","205,700","9,700",4.50%,1,1
Buellton city,"2,700","2,700",0,1.60%,0.013079,0.004431
Carpinteria city,"7,400","7,000",300,4.60%,0.034184,0.035115
Goleta city,"17,000","16,500",500,3.00%,N/A,N/A
Guadalupe city,"3,200","3,000",100,4.00%,0.014755,0.012958
